provincia,pais,lat,long,confirmados,muertos,recuperados
Distrito Nacional,Repulica dominicana,18.4861,-69.983333,1814,41,514
Azua,Repulica dominicana,18.4531898,-70.7349014,51,2,5
Baoruco,Repulica dominicana,18.4813709,-71.4196472,5,0,1
Barahona,Repulica dominicana,18.25,-71.2166672,37,1,7
Dajabón,Repulica dominicana,19.5487804,-71.7082901,3,0,1
Duarte,Repulica dominicana,19.1841602,-70.1088409,632,76,118
Elías Piña,Repulica dominicana,19.0524685,-71.619868,4,0,0
El Seibo,Repulica dominicana,18.7644444444,-69.0372222222,5,0,0
Espaillat,Repulica dominicana,19.6274796,-70.2777176,236,7,28
Independencia,Repulica dominicana,18.4916897," -71.8502197",1,0,1
La Altagracia,Repulica dominicana,18.6501694,-68.6628113,124,1,46
La Romana,Repulica dominicana,18.42733,-68.972847,159,2,25
La Vega,Repulica dominicana,19.2220707," -70.5295563",513,8,78
María Trinidad Sánchez,Repulica dominicana,19.3735,-69.8473969,96,3,11
Monte Cristi,Repulica dominicana,19.8486111111,-71.6447222222,17,0,2
Pedernales,Repulica dominicana,18.0383797,-71.7440338,3,0,0
Peravia,Repulica dominicana,18.2469692,-70.2105331,55,1,13
Puerto Plata,Repulica dominicana,19.7934399,-70.6884003,229,13,25
Hermanas Mirabal,Repulica dominicana,19.3743896,-70.3508682,181,13,22
Samaná,Repulica dominicana,19.2056103,-69.336853,24,1,11
San Cristóbal,Repulica dominicana,18.4166698,-70.0999985,215,9,20
San Juan,Repulica dominicana,18.8," -71.2333333",68,3,3
San Pedro de Macorís,Repulica dominicana,18.4538994,-69.3086395,67,9,16
Sánchez Ramírez,Repulica dominicana,19.0527191,-70.1493912,167,6,15
Santiago,Repulica dominicana,19.4517002,-70.6970291,860,51,143
Santiago Rodríguez,Repulica dominicana,19.4108295,-71.1525726,32,1,0
Valverde,Repulica dominicana,19.5518608,-71.0781326,37,4,5
Monseñor Nouel,Repulica dominicana,18.8443108,-70.3168793,192,4,22
Monte Plata,Repulica dominicana,18.8069992," -69.783989",16,4,0
Hato Mayor,Repulica dominicana,18.7666667,-69.3884277,12,2,2
San José de Ocoa,Repulica dominicana,18.55,-70.5,6,2,0
Santo Domingo,Repulica dominicana,18.4718609,-69.8923187,1427,49,253
